What is the name of the dog you would like to submit a response for?,How long were you thinking about adding a new dog to the family  before you brought {{field:dog_name}} home?,What was your primary motivation for getting {{field:dog_name}}?,Where did you acquire {{field:dog_name}} from?,Please select the characteristic you found most important when choosing {{field:dog_name}}.,"Your number 1 choice is {{field:char_1_1}}.
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
What was the next most important characteristic?","Your rankings so far:
1. {{field:char_1_1}}
2. {{field:char_1_2}}
3. {{field:char_1_3}}
4. {{field:char_1_4}}
5. {{field:char_1_5}}
What was the next most important characteristic?",Were your primary relationship expectations met?,Do you still live with {{field:dog_name}}?,How long did you and {{field:dog_name}} live together?,Where is {{field:dog_name}} now?,Would you like to enter information for another dog you own(ed)?,Would you ever consider bringing another dog into your life?,Please select the characteristic you find most important from the list.,"Your number 1 choice is {{field:char_2_1}}.
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
What is next most important characteristic?","Your rankings so far:
1. {{field:char_2_1}}
2. {{field:char_2_2}}
3. {{field:char_2_3}}
4. {{field:char_2_4}}
5. {{field:char_2_5}}
What is next most important characteristic?","If you were to bring another dog into your life, where are you likely to get that dog?",id,msg,list,sep,Submitted At,Token
Ranger,1 week - 6 months,Companionship and affection,Breeder,Individual personality/behavior,Breed,Trainability,Compatability with other pets in the home,Age,Appearance,Yes,True,,,True,,,,,,,,,5e458dc6a24f0fabd040293b343565e8,,, ,3/6/2020 0:54:43,tbctqvq05w3gie7stbctq940om5wpa0q
Milo,1 week - 6 months,Companionship and affection,Breeder,Breed,Size,Age,Individual personality/behavior,Appearance,Compatability with other pets in the home,Yes,True,,,False,True,Breed,Age,Trainability,Age,Size,Individual personality/behavior,Breeder,cf6720142364cfe2e95ab5ccbb82f28b,,, ,3/6/2020 0:55:55,cpcog4431mp0e0e9lcpcog4f0siemer9
Loki,Less than 1 week,Companion for another dog or pet,Shelter/Rescue,Size,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Size,Trainability,Appearance,Age,Shelter/Rescue,9489312efc45881b5265a1c2bc9e3645,We have submissions for:,,", ",3/6/2020 0:55:58,p9o39s073b5shpgp9o1n8ig2myba57i3
Shadow,1 week - 6 months,Companionship and affection,Breeder,Compatability with other pets in the home,Individual personality/behavior,Breed,Trainability,Age,Size,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Breed,Trainability,Age,Size,Shelter/Rescue,5e458dc6a24f0fabd040293b343565e8,We have submissions for:,,", ",3/6/2020 0:58:09,kdte25v11hjrfktbumkdte25vw8uxslv
Lucky,1 week - 6 months,rescue,Shelter/Rescue,Individual personality/behavior,Appearance,Compatability with other pets in the home,Age,Trainability,Breed,"Partially, I grew to love the dog over time",False,6+ years,Passed,False,True,Individual personality/behavior,Compatability with other pets in the home,Appearance,Trainability,Size,Breed,Shelter/Rescue,9d305f6af4b519f96bd9a7fd68d5250b,,, ,3/6/2020 0:58:23,4bgdvnongx9i1cutcjiny4bgdvnofydq
Delilah,6+ years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Breed,Individual personality/behavior,Size,Appearance,Trainability,Age,Yes,True,,,False,True,Breed,Individual personality/behavior,Appearance,Trainability,Age,Size,Shelter/Rescue,491e352ffbe05085cb453f65bc9d0291,,, ,3/6/2020 1:01:43,cu6xdlwxgzp0fkktmp2cu6xsgkxy2wen
Burley,1 week - 6 months,Companionship and affection,Breeder,Individual personality/behavior,Age,Breed,Trainability,Size,Appearance,Yes,True,,,False,True,Individual personality/behavior,Breed,Size,Trainability,Compatability with other pets in the home,Age,Shelter/Rescue,33ee1b436951f573c0d5a3cc12a4a4cf,,, ,3/6/2020 1:17:27,neh8ldpf5nok8b1exyw7stneh8ldpk51
Sheeba,6+ months - 6 years,"Exercise, adventure partner",Shelter/Rescue,Breed,Age,Individual personality/behavior,Appearance,Size,Trainability,Yes,True,,,True,,,,,,,,,9297819648ea0e3ddcb4ac7dc8462a80,,, ,3/6/2020 1:19:46,jolgkskoieyyfks6gjolgkskocx0gzz5
Dulce,1 week - 6 months,Companionship and affection,Local pet shop,Individual personality/behavior,Size,Age,Appearance,Breed,Trainability,Yes,True,,,True,,,,,,,,,9297819648ea0e3ddcb4ac7dc8462a80,We have submissions for:,,", ",3/6/2020 1:21:00,9ngkbkqntzp49t6kf9ngkbkq3j95c5q6
Wrangler,6+ months - 6 years,Working or sporting,Shelter/Rescue,Individual personality/behavior,Age,Breed,Size,Appearance,Compatability with other pets in the home,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Breed,Age,Appearance,Shelter/Rescue,9297819648ea0e3ddcb4ac7dc8462a80,We have submissions for:,,", ",3/6/2020 1:23:17,jvrdwv7mro9igrj2jvrdwmz1ykeibza0
Champ,1 week - 6 months,Companion for another dog or pet,Online,Individual personality/behavior,Compatability with other pets in the home,Size,Appearance,Breed,Age,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,33635d5e0752c9d12573f53d7159ab7f,,, ,3/6/2020 1:26:48,mxut1mbewzv4k2ccrlmxut1mbcpqj9fd
Bailey,1 week - 6 months,Friend had a litter and offered me a puppy,Family member or friend,Appearance,Individual personality/behavior,Size,Breed,Individual personality/behavior,Compatability with other pets in the home,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,33635d5e0752c9d12573f53d7159ab7f,We have submissions for:,,", ",3/6/2020 1:28:40,kgolv9m64v6r36zzo3kgolw6s5jsimgh
Lucy,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Breed,Individual personality/behavior,Age,Size,Appearance,Trainability,Yes,True,,,True,,,,,,,,,9e3e8a4d420675fe8d0d7209af68ca23,,, ,3/6/2020 1:31:08,915sdwm6n0qjj2t80z915sdhvreyvk6k
Happy,1 week - 6 months,Vet asked if we wanted to adopt an abandoned puppy,Shelter/Rescue,Compatability with other pets in the home,Breed,Age,Individual personality/behavior,Appearance,Trainability,"Partially, I grew to love the dog over time",True,,,False,True,Compatability with other pets in the home,Trainability,Individual personality/behavior,Age,Size,Appearance,Shelter/Rescue,33635d5e0752c9d12573f53d7159ab7f,We have submissions for:,,", ",3/6/2020 1:31:12,f4fja7tadgjo92ug3hf4fja1wvfgzdv8
Brodie,1 week - 6 months,Was supposed to foster but fell in love,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Breed,Age,Size,Appearance,Yes,True,,,True,,,,,,,,,9e3e8a4d420675fe8d0d7209af68ca23,We have submissions for:,,", ",3/6/2020 1:33:25,d49f37nv2dh8x1o3oa2d49fck2qgkclo
Jake,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Appearance,Age,Breed,Trainability,Yes,True,,,False,True,Individual personality/behavior,Size,Appearance,Age,Trainability,Breed,Shelter/Rescue,55bda1fba0c19edaf80ac6d6121079c0,,, ,3/6/2020 1:36:04,tw8end59tukzr5ltw8mlinxgym4uoa2j
Zara,1 week - 6 months,Saving her from a horrible home life.,Family member or friend,Individual personality/behavior,Age,Breed,Size,Appearance,Trainability,Yes,False,6+ years,Passed,True,,,,,,,,,9e3e8a4d420675fe8d0d7209af68ca23,We have submissions for:,,", ",3/6/2020 1:36:16,fv6mhlp2lfmksv997o19h4fv6mhlp28o
Trinket,1 week - 6 months,Companionship and affection,Breeder,Breed,Size,Age,Individual personality/behavior,Compatability with other pets in the home,Appearance,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Breed,Size,Appearance,Age,Shelter/Rescue,9e3e8a4d420675fe8d0d7209af68ca23,We have submissions for:,,", ",3/6/2020 1:38:58,sgg57t6rlxmt3o6igsgg59smwxxrxwe6
Why do you need this,1 week - 6 months,Companionship and affection,Shelter/Rescue,Size,Age,Individual personality/behavior,Trainability,Appearance,Compatability with other pets in the home,"Partially, I accepted the dog and made it work",True,,,False,True,Compatability with other pets in the home,Size,Individual personality/behavior,Appearance,Trainability,Age,Breeder,01f3116771cffc6e30191e5f669f1a2e,,, ,3/6/2020 1:39:31,ha27dvv082hai9z5y2ybvdmvri91a8gj
Beatrice (Bee),1 week - 6 months,"Lost my previous Dane, the rescue knew I had experience with a deaf Dane",Shelter/Rescue,Breed,Individual personality/behavior,Age,Compatability with other pets in the home,Trainability,Size,"Partially, I grew to love the dog over time",True,,,False,True,Individual personality/behavior,Age,Trainability,Compatability with other pets in the home,Size,Breed,Shelter/Rescue,bd341137215a0ba1bdccf3b3187c7911,,, ,3/6/2020 1:41:33,uhyaye83jf5rkhbdeuhyayescht2y62l
Toodie,Less than 1 week,Companionship and affection,Shelter/Rescue,Size,Individual personality/behavior,Appearance,Age,Breed,Trainability,Yes,True,,,True,,,,,,,,,19fc478049f550b76b9e982b04c36d1b,,, ,3/6/2020 1:42:36,lyy92xkz5y3hmf3lyy3klqwt9t8npoi6
Jiffy,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Appearance,Breed,Size,Individual personality/behavior,Age,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Size,Breed,Appearance,Age,Shelter/Rescue,19fc478049f550b76b9e982b04c36d1b,We have submissions for:,,", ",3/6/2020 1:45:13,clvwwxfyoedxfbv0clvwwou1lu0tplh4
Eli,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Compatability with other pets in the home,Size,Age,Trainability,Yes,True,,,True,,,,,,,,,a411598c9b3b96de4c3606061294a643,,, ,3/6/2020 1:47:16,r9howrv2wnnfyejh0r9hoq0pedpd1mx1
Moxie,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Age,Size,Appearance,Trainability,Breed,Yes,False,6+ years,Passed,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Age,Breed,Shelter/Rescue,a411598c9b3b96de4c3606061294a643,We have submissions for:,,", ",3/6/2020 1:49:29,fivkhu2l5t8kkq0zfivkhyq0dghupazp
Rosie,6+ years,Companionship and affection,Shelter/Rescue,Age,Individual personality/behavior,Size,Appearance,Breed,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Trainability,Appearance,Shelter/Rescue,f73c694b5963f770564c404d8d7206a5,,, ,3/6/2020 1:55:10,6xtdy7wiqaub3i8oxh46xtdy75fzt1un
Phil,1 week - 6 months,Companionship and affection,Shelter/Rescue,Age,Compatability with other pets in the home,Breed,Individual personality/behavior,Size,Appearance,Yes,True,,,False,True,Compatability with other pets in the home,Age,Individual personality/behavior,Size,Breed,Appearance,Shelter/Rescue,28c820983fb52195e52c9aeb128115ee,,, ,3/6/2020 1:57:07,vw87d2yn43xjd84e1z3l1zi9vw87d2yn
Snickers,Less than 1 week,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Size,Age,Breed,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Age,Size,Appearance,Breed,Shelter/Rescue,0288a4a2bdad67c4da41494d7426f117,,, ,3/6/2020 2:02:44,u26nndz4tn9k00h9tjsu26nnw3trgzs2
Penny,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Age,Breed,Appearance,Compatability with other pets in the home,Size,Yes,True,,,False,True,Compatability with other pets in the home,Age,Breed,Individual personality/behavior,Size,Appearance,Shelter/Rescue,49a1a180fb336c9a0ffd872cd6e669e0,,, ,3/6/2020 2:09:35,qzzv8mj9cv8lt7b3bbn8qzzv8rp45smr
Ben,1 week - 6 months,Companionship and affection,Breeder,Individual personality/behavior,Breed,Compatability with other pets in the home,Size,Appearance,Age,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Breed,Appearance,Shelter/Rescue,36a221e605b90e0f06ed8db0f614e6d5,,, ,3/6/2020 2:14:35,au2x96ptkln83chtc1hau2x95hf77ozg
Precious,Less than 1 week,"It was spur of the moment, free puppies sign.",Family member or friend,Individual personality/behavior,Trainability,Appearance,Breed,Age,Size,Yes,True,,,False,True,Individual personality/behavior,Size,Age,Trainability,Breed,Appearance,Family member or friend,6607ecb3ec1d30286e6549fad0563497,,, ,3/6/2020 2:16:03,aewx29sjx4k6w5q3saewx297x3z4womr
McDreamy,1 week - 6 months,Companionship and affection,Breeder,Size,Individual personality/behavior,Age,Appearance,Trainability,Compatability with other pets in the home,Yes,True,,,False,True,Size,Breed,Individual personality/behavior,Age,Appearance,Compatability with other pets in the home,Breeder,864e38a4348355d26d285a3d609b1a9e,,, ,3/6/2020 2:19:21,rqwstt0njwowa06kdyxarqwsv5nk0aa9
Reese,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Breed,Size,Trainability,Compatability with other pets in the home,"Partially, I accepted the dog and made it work",True,,,True,,,,,,,,,e7b9ee8bd496b0c1f9b789c047ce8da6,,, ,3/6/2020 2:20:09,mk611qo0q5zxj2xsa0uyqkmk611qic7o
Harris,6+ months - 6 years,Companionship and affection,Breeder,Breed,Size,Compatability with other pets in the home,Individual personality/behavior,Appearance,Age,Yes,True,,,True,,,,,,,,,ebf404cf85a73ad07076289119e7ff80,,, ,3/6/2020 2:21:22,qhynw8m1grbltyd2nwqhyba03g3f2xnr
George,6+ months - 6 years,Companionship and affection,Breeder,Appearance,Breed,Age,Trainability,Size,Individual personality/behavior,Yes,False,6+ years,Euthanized,False,True,Individual personality/behavior,Appearance,Size,Age,Trainability,Compatability with other pets in the home,Shelter/Rescue,e7b9ee8bd496b0c1f9b789c047ce8da6,We have submissions for:,,", ",3/6/2020 2:21:53,0lhpwt46xrurrd0c4cb1lr0lhpwt4rx5
Kayo,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Appearance,Individual personality/behavior,Size,Trainability,Breed,Age,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Appearance,Age,Trainability,Breed,Shelter/Rescue,4e180480ac0a53b435fa1220f4ee505d,,, ,3/6/2020 2:23:00,zqhx0g77996rmm9zqhx68npgn5y9811a
Lara,6+ months - 6 years,Companion for another dog or pet,Breeder,Compatability with other pets in the home,Individual personality/behavior,Size,Age,Breed,Age,Yes,True,,,False,True,Breed,Compatability with other pets in the home,Individual personality/behavior,Size,Trainability,Appearance,Breeder,ebf404cf85a73ad07076289119e7ff80,We have submissions for:,,", ",3/6/2020 2:24:44,y2khwo8xzoy5psfey2kh4nwzydbk3h42
Gypsy,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Appearance,Size,Trainability,Age,Yes,False,6+ years,Passed,True,,,,,,,,,c199943acc65eb6b9568f6b50935c264,,, ,3/6/2020 2:24:59,uv73ddlxicsp64mq83v4juv73d9ch9tw
Bogey,6+ months - 6 years,Companion for another dog or pet,Shelter/Rescue,Compatability with other pets in the home,Breed,Individual personality/behavior,Age,Appearance,Trainability,Yes,False,6+ years,Passed,True,,,,,,,,,c199943acc65eb6b9568f6b50935c264,We have submissions for:,,", ",3/6/2020 2:27:34,nw3pa0giqmotc82vszbk4ddnw3pa0gwf
Talula,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Appearance,Age,Breed,Size,Yes,False,6+ months - 6 years,Passed,True,,,,,,,,,c199943acc65eb6b9568f6b50935c264,We have submissions for:,,", ",3/6/2020 2:29:01,dk6l3l4kps2xvxt2dk6l3ycvp4wql9u8
Rocky,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Shelter/Rescue,Compatability with other pets in the home,Size,Age,Individual personality/behavior,Appearance,Trainability,Yes,True,,,False,False,,,,,,,,a0fddad88eff5516215d87db83bba6fe,,, ,3/6/2020 2:29:03,353q5i48rrxduttl8xcf3531exlg2twj
Rod,1 week - 6 months,Companionship and affection,Shelter/Rescue,Appearance,Individual personality/behavior,Size,Age,Breed,Trainability,Yes,True,,,True,,,,,,,,,dcc78b6672e6c28f0a6fefb1f149dea6,,, ,3/6/2020 2:30:56,izo2wgnrem6bdafwizo2w3nvw1oddlhj
Wyatt,Less than 1 week,Fostering,Shelter/Rescue,Compatability with other pets in the home,Trainability,Individual personality/behavior,Appearance,Breed,Size,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Appearance,Breed,Age,Trainability,Shelter/Rescue,c199943acc65eb6b9568f6b50935c264,We have submissions for:,,", ",3/6/2020 2:31:28,d1p24txbw4fmzcztcelhdmd1p24txbwo
Rosie,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Age,Appearance,Size,Trainability,Yes,True,,,True,,,,,,,,,b1bd03c6c779218a26b357290de2a8a9,,, ,3/6/2020 2:31:50,8yyt3uqv91z84ifa8yyt3uqhk8035di0
Mid,1 week - 6 months,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Breed,Individual personality/behavior,Trainability,Appearance,Individual personality/behavior,Size,"Partially, I grew to love the dog over time",False,6+ years,Passed,False,True,Size,Appearance,Individual personality/behavior,Trainability,Compatability with other pets in the home,Age,Shelter/Rescue,dcc78b6672e6c28f0a6fefb1f149dea6,We have submissions for:,,", ",3/6/2020 2:33:39,23r90e476e7obi5zwof23rvbx4xqmynp
Gypsy,1 week - 6 months,Companionship and affection,Shelter/Rescue,Appearance,Individual personality/behavior,Age,Size,Trainability,Compatability with other pets in the home,Yes,True,,,False,True,Size,Compatability with other pets in the home,Individual personality/behavior,Age,Trainability,Appearance,Shelter/Rescue,b1bd03c6c779218a26b357290de2a8a9,We have submissions for:,,", ",3/6/2020 2:35:14,tm4td90hnq4a8psydmz8tm4td9ngj07u
Rory,1 week - 6 months,Working or sporting,Breeder,Breed,Age,Trainability,Compatability with other pets in the home,Individual personality/behavior,Appearance,Yes,True,,,True,,,,,,,,,9d4b270a43d76afe96c692f6d215ba56,,, ,3/6/2020 2:37:20,ej4u2w1zpmp09q99f17gej4u2zsk6x3m
Pippa,1 week - 6 months,Working or sporting,Breeder,Breed,Age,Compatability with other pets in the home,Trainability,Individual personality/behavior,Appearance,Yes,True,,,False,False,,,,,,,,9d4b270a43d76afe96c692f6d215ba56,We have submissions for:,,,3/6/2020 2:40:18,yinj0wh5lxwtx3s6meamyinj0whzaa6n
cardib,6+ years,Companionship and affection,Breeder,Individual personality/behavior,Trainability,Individual personality/behavior,Trainability,Individual personality/behavior,Age,Yes,True,,,False,True,Individual personality/behavior,Trainability,Compatability with other pets in the home,Breed,Appearance,Age,Breeder,db03bd3406471a747bea8fce3af386c4,,, ,3/6/2020 2:40:20,kgymr12l8girig71r6vqmkgymr12lepx
Sadie,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Age,Appearance,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Age,Appearance,Shelter/Rescue,e48c1b00bcd696629220c64d13de3aca,,, ,3/6/2020 2:44:22,yty0a84flr5fw4p96yty0aee8d7fmfv1
Hadley Grace,6+ months - 6 years,Companion for another dog or pet,Family member or friend,Compatability with other pets in the home,Appearance,Size,Trainability,Individual personality/behavior,Breed,Yes,True,,,False,True,Individual personality/behavior,Compatability with other pets in the home,Trainability,Size,Appearance,Age,Shelter/Rescue,db2d9971dc4b64cea8f2315ee15071af,,, ,3/6/2020 2:46:05,aiy4nr3hrnrc0p1eo1aiy4ndukcdr2vo
Jake,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Individual personality/behavior,Age,Trainability,Appearance,Size,Yes,True,,,False,True,Breed,Individual personality/behavior,Age,Trainability,Appearance,Size,Shelter/Rescue,f5eedec2f0672aaeda0998fea0105691,,, ,3/6/2020 2:52:51,abo8rcdkaz360saboq5l4bxx1v669l2x
Cali,1 week - 6 months,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Breed,Appearance,Size,Age,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Size,Breed,Appearance,Shelter/Rescue,af3b897bf3986cb587cfe5c7e3747239,,, ,3/6/2020 2:53:23,9ho1t6cat6sfvgqfc9ho1w87ohj6cenb
Tanner,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Appearance,Size,Breed,Trainability,Trainability,Yes,True,,,False,False,,,,,,,,3f39a78c9db340faf12478f30454aff1,,, ,3/6/2020 2:55:11,epeyjvtqnd70fac7h3epeypnmcjbs87z
Prophet,1 week - 6 months,Companionship and affection,Breeder,Compatability with other pets in the home,Individual personality/behavior,Breed,Trainability,Appearance,Size,Yes,True,,,True,,,,,,,,,852c20bc45b0d3981bb11fbfe4cee8c8,,, ,3/6/2020 2:55:16,yrkhpc9ql1lp3zsdwakyyrkhpc0dayjj
Power,6+ months - 6 years,Companionship and affection,Breeder,Compatability with other pets in the home,Individual personality/behavior,Breed,Trainability,Breed,Size,Yes,True,,,True,,,,,,,,,852c20bc45b0d3981bb11fbfe4cee8c8,We have submissions for:,,", ",3/6/2020 2:56:32,v7cpxr307xqs7y12mv7cpxrp9ad51agw
Grail,1 week - 6 months,Companionship and affection,Breeder,Compatability with other pets in the home,Individual personality/behavior,Breed,Trainability,Appearance,Age,Yes,True,,,False,True,Compatability with other pets in the home,Individual personality/behavior,Trainability,Breed,Appearance,Age,Breeder,852c20bc45b0d3981bb11fbfe4cee8c8,We have submissions for:,,", ",3/6/2020 2:58:15,egxiab3fck3i247oxaqegxiazo0p2jvg
Mia,1 week - 6 months,Companion for another dog or pet,Breeder,Breed,Size,Age,Compatability with other pets in the home,Appearance,Individual personality/behavior,Yes,True,,,True,,,,,,,,,a53efebac1d330c29ee112f4abeb9d41,,, ,3/6/2020 3:00:35,9ao95g8neaglguu43am99ao956nk8r2a
Holly,1 week - 6 months,Companion for another dog or pet,Shelter/Rescue,Breed,Size,Individual personality/behavior,Compatability with other pets in the home,Trainability,Appearance,Yes,True,,,True,,,,,,,,,85685f527ae687d1749686506f55bb62,,, ,3/6/2020 3:01:56,g9sub5rl9bjdw4zg9szflc45gen98zd2
Kira,Less than 1 week,Companion for another dog or pet,Local pet shop,Age,Individual personality/behavior,Size,Appearance,Breed,Compatability with other pets in the home,Yes,True,,,False,True,Age,Size,Individual personality/behavior,Appearance,Compatability with other pets in the home,Breed,Shelter/Rescue,a53efebac1d330c29ee112f4abeb9d41,We have submissions for:,,", ",3/6/2020 3:03:09,0gmveiaewggv4nwxnzj0gmveia5qklff
Amber,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Shelter/Rescue,Individual personality/behavior,Compatability with other pets in the home,Breed,Size,Trainability,Age,Yes,True,,,False,True,Size,Breed,Compatability with other pets in the home,Individual personality/behavior,Trainability,Age,Shelter/Rescue,85685f527ae687d1749686506f55bb62,We have submissions for:,,", ",3/6/2020 3:03:53,8c50l3ioeeeibhp6rlb1k68c50l3uxe0
Bella,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Breed,Appearance,Size,Age,Individual personality/behavior,Trainability,Yes,True,,,False,True,Breed,Appearance,Size,Individual personality/behavior,Trainability,Age,Breeder,abb44fb5f892dd2dda18444fb0da8fa1,,, ,3/6/2020 3:16:35,3z1k5r852vb6z79d9p3z1k522r8y1ddq
Opie,6+ months - 6 years,Companionship and affection,Shelter/Rescue,Size,Appearance,Individual personality/behavior,Age,Breed,Trainability,"Partially, I grew to love the dog over time",True,,,True,,,,,,,,,a327668738e2a6b39ff1fd3e8f806dec,,, ,3/6/2020 3:16:55,oofnyn2b3qp3c1ujooofnynxxbw7oj98
Justice,6+ years,Companionship and affection,Shelter/Rescue,Individual personality/behavior,Size,Appearance,Age,Trainability,Breed,Yes,False,6+ years,Passed,False,True,Appearance,Individual personality/behavior,Age,Size,Trainability,Breed,Shelter/Rescue,a327668738e2a6b39ff1fd3e8f806dec,We have submissions for:,,", ",3/6/2020 3:18:24,ckek0504045zx5no13xckek0xstkgtga
Cosmo,1 week - 6 months,Companionship and affection,Breeder,Individual personality/behavior,Breed,Trainability,Appearance,Age,Size,Yes,False,6+ years,Passed,True,,,,,,,,,5b2aed76096e9a1cac28a74b1b6fee2f,,, ,3/6/2020 3:18:41,89kw4rfmo6040hb5ao4189kw4rb20g3n
Odin,1 week - 6 months,Companion for another dog or pet,Breeder,Breed,Compatability with other pets in the home,Appearance,Size,Age,Individual personality/behavior,Yes,True,,,False,True,Appearance,Individual personality/behavior,Compatability with other pets in the home,Size,Breed,Age,Breeder,5b2aed76096e9a1cac28a74b1b6fee2f,We have submissions for:,,", ",3/6/2020 3:21:12,z5euies32x9bxn56w1dz5euies24tcg2
Rover,1 week - 6 months,Companionship and affection,Shelter/Rescue,Breed,Age,Size,Individual personality/behavior,Appearance,Trainability,Yes,True,,,True,,,,,,,,,78abb9b0f1aeb74395daf6035b3887d6,,, ,3/6/2020 3:22:18,upjkagw46hftxpwgup9p1sxw71aj7uvz
River,Less than 1 week,Companionship and affection,Shelter/Rescue,Breed,Individual personality/behavior,Appearance,Age,Trainability,Size,Yes,True,,,True,,,,,,,,,0c85ab9c6e97fd52f0e8f8e2b60e6e46,,, ,3/6/2020 3:23:00,6k3y5atvwx9tta6k3y5rl9htjuovchcs
Ollie,1 week - 6 months,Companionship and affection,Shelter/Rescue,Appearance,Age,Size,Breed,Individual personality/behavior,Trainability,Yes,True,,,False,True,Compatability with other pets in the home,Size,Age,Individual personality/behavior,Breed,Trainability,Shelter/Rescue,78abb9b0f1aeb74395daf6035b3887d6,We have submissions for:,,", ",3/6/2020 3:23:34,kviv9ox8t35qo675f4k4okviv9oo76ol
Nala,6+ months - 6 years,"Someone else in the home wanted a dog (e.g. kids, spouse)",Breeder,Breed,Age,Compatability with other pets in the home,Size,Trainability,Individual personality/behavior,Yes,True,,,False,True,Individual personality/behavior,Trainability,Breed,Size,Compatability with other pets in the home,Age,Breeder,0ec0e09791cb2f6a2b86e6436fe8f0e8,,, ,3/6/2020 3:23:50,bwzqkyi6ek3uwg7aziebwztagh9sqfoq
Whisper,1 week - 6 months,Companionship and affection,Shelter/Rescue,Trainability,Breed,Appearance,Individual personality/behavior,Size,Compatability with other pets in the home,Yes,True,,,False,True,Trainability,Individual personality/behavior,Compatability with other pets in the home,Appearance,Breed,Size,Shelter/Rescue,0c85ab9c6e97fd52f0e8f8e2b60e6e46,We have submissions for:,,", ",3/6/2020 3:24:52,6fvwvx198emqcl6ytlm6fvwvkd3hix49
Cocoa,1 week - 6 months,"Exercise, adventure partner",Shelter/Rescue,Size,Age,Compatability with other pets in the home,Appearance,Individual personality/behavior,Trainability,"Partially, I grew to love the dog over time",True,,,False,True,Size,Compatability with other pets in the home,Individual personality/behavior,Age,Appearance,Trainability,Shelter/Rescue,9791daa86079f0fe33ffde74093e289e,,, ,3/6/2020 3:27:55,4gsuz351mivssjhkl7r4gsuje8inigld
